
,aX,aY,aZ,gX,gY,gZ,roll,pitch,yaw,vi
13,5.7,36.4,30.04,-0.12,0.88,0.87,50.71,11.38,9.53,0.06
14,5.43,36.4,30.04,-0.12,0.88,0.87,50.71,11.38,9.73,0.2
15,5.43,36.85,29.47,-0.96,0.51,0.87,50.71,11.38,9.73,0.2
16,5.43,36.85,29.47,-0.96,0.51,0.3,51.22,10.77,9.83,0.2
17,4.3,35.78,29.47,-0.96,0.51,0.3,51.22,10.77,9.83,0.31
18,4.3,35.78,17.45,-1.46,-3.13,0.3,51.22,10.77,9.83,0.31
19,4.3,35.78,17.45,-1.46,-3.13,-0.44,62.55,8.99,9.8,0.31
20,2.92,27.51,17.45,-1.46,-3.13,-0.44,62.55,8.99,9.8,0.67
21,2.92,27.51,-1.67,4.21,-11.08,-3.81,62.55,8.99,9.8,0.67
22,2.92,27.51,-1.67,4.21,-11.08,-3.81,89.25,51.13,9.31,-0.81
23,11.55,9.18,-1.67,4.21,-11.08,-3.81,89.25,51.13,9.31,-0.81
24,11.55,9.18,-33.22,22.3,-0.21,-1.66,89.25,51.13,9.31,-0.81

0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,6.3,37.57,29.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,6.3,37.57,29.86,-1.64,1.02,1.28,51.4,0.0,0.0,0.0
3,6.3,37.57,29.86,-1.64,1.02,1.28,51.4,11.82,18.87,0.3
4,7.03,36.99,29.29,-1.64,1.02,1.28,51.4,11.82,18.87,0.3
5,7.03,36.99,29.29,-2.75,1.33,1.05,51.67,11.82,18.87,0.3
6,7.03,36.99,29.29,-2.75,1.33,1.05,51.67,13.14,19.06,0.23
7,7.5,36.73,29.76,-2.69,1.33,1.05,51.67,13.14,19.06,0.23
8,7.5,36.73,29.76,-2.69,2.03,1.43,51.14,13.84,19.06,0.23
9,7.5,36.73,29.76,-2.69,2.03,1.43,51.14,13.84,19.28,0.04
10,6.63,37.06,27.86,-2.83,2.75,1.43,51.14,13.84,19.28,0.04
11,6.63,37.06,27.86,-2.83,2.75,2.11,53.09,13.17,19.62,0.04
12,7.1,36.37,27.86,-2.83,2.75,2.11,53.09,13.17,19.62,-0.02
13,7.1,36.37,25.81,-2.52,3.12,2.05,53.09,13.17,19.62,-0.02
